endpoint;path;description;changeType;oldValue;currentValue
"/branches/";"get/responses";"Adicionado - ""default""";"Adição";"";""
"/branches/";"get/responses/200";"Removido - ""example""";"Remoção";"";""
"/branches/";"get/responses/200/data";"Alterado - ""type""";"Alteração";"object";"array"
"/branches/";"get/responses/200/data";"Removido - ""required""";"Remoção";"";""
"/branches/";"get/responses/200/data";"Removido - ""properties""";"Remoção";"";""
"/branches/";"get/responses/200/data";"Adicionado - ""description""";"Adição";"";"Conjunto de informações referente as dependências próprias da instituição."
"/branches/";"get/responses/200/data";"Adicionado - ""minItems""";"Adição";"";"1"
"/branches/";"get/responses/200/data";"Adicionado - ""items""";"Adição";"";""
"/branches/";"get/responses/200/links";"Adicionado - ""description""";"Adição";"";"Referências para outros recursos da API requisitada"
"/branches/";"get/responses/200/links/first";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/branches/";"get/responses/200/links/first";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/branches/";"get/responses/200/links/first";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/branches/";"get/responses/200/links/first";"Adicionado - ""minLength""";"Adição";"";"5"
"/branches/";"get/responses/200/links/last";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/branches/";"get/responses/200/links/last";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/branches/";"get/responses/200/links/last";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/branches/";"get/responses/200/links/last";"Adicionado - ""minLength""";"Adição";"";"5"
"/branches/";"get/responses/200/links/next";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/branches/";"get/responses/200/links/next";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/branches/";"get/responses/200/links/next";"Adicionado - ""minLength""";"Adição";"";"5"
"/branches/";"get/responses/200/links/next";"Adicionado - ""example""";"Adição";"";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/branches/";"get/responses/200/links/prev";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/branches/";"get/responses/200/links/prev";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/branches/";"get/responses/200/links/prev";"Adicionado - ""minLength""";"Adição";"";"5"
"/branches/";"get/responses/200/links/prev";"Adicionado - ""example""";"Adição";"";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/branches/";"get/responses/200/links/self";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/branches/";"get/responses/200/links/self";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/branches/";"get/responses/200/links/self";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/branches/";"get/responses/200/links/self";"Adicionado - ""minLength""";"Adição";"";"5"
"/branches/";"get/responses/200/meta";"Adicionado - ""description""";"Adição";"";"Meta informações referente à API requisitada"
"/electronic-channels/";"get/parameters/page";"Adicionado - ""format""";"Adição";"";"int32"
"/electronic-channels/";"get/parameters/page";"Adicionado - ""maximum""";"Adição";"";"2147483647"
"/electronic-channels/";"get/parameters/page-size";"Adicionado - ""format""";"Adição";"";"int32"
"/electronic-channels/";"get/parameters/page-size";"Adicionado - ""maximum""";"Adição";"";"1000"
"/electronic-channels/";"get/responses";"Adicionado - ""400""";"Adição";"";""
"/electronic-channels/";"get/responses";"Adicionado - ""404""";"Adição";"";""
"/electronic-channels/";"get/responses";"Adicionado - ""405""";"Adição";"";""
"/electronic-channels/";"get/responses";"Adicionado - ""429""";"Adição";"";""
"/electronic-channels/";"get/responses";"Adicionado - ""500""";"Adição";"";""
"/electronic-channels/";"get/responses";"Adicionado - ""504""";"Adição";"";""
"/electronic-channels/";"get/responses";"Adicionado - ""529""";"Adição";"";""
"/electronic-channels/";"get/responses";"Adicionado - ""default""";"Adição";"";""
"/electronic-channels/";"get/responses/200";"Removido - ""example""";"Remoção";"";""
"/electronic-channels/";"get/responses/200/data";"Alterado - ""type""";"Alteração";"object";"array"
"/electronic-channels/";"get/responses/200/data";"Removido - ""required""";"Remoção";"";""
"/electronic-channels/";"get/responses/200/data";"Removido - ""properties""";"Remoção";"";""
"/electronic-channels/";"get/responses/200/data";"Adicionado - ""description""";"Adição";"";"Conjunto de informações referente aos canais eletrônicos de atendimento da instituição"
"/electronic-channels/";"get/responses/200/data";"Adicionado - ""minItems""";"Adição";"";"1"
"/electronic-channels/";"get/responses/200/data";"Adicionado - ""items""";"Adição";"";""
"/electronic-channels/";"get/responses/200/links";"Adicionado - ""description""";"Adição";"";"Referências para outros recursos da API requisitada"
"/electronic-channels/";"get/responses/200/links/first";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/electronic-channels/";"get/responses/200/links/first";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/electronic-channels/";"get/responses/200/links/first";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/electronic-channels/";"get/responses/200/links/first";"Adicionado - ""minLength""";"Adição";"";"5"
"/electronic-channels/";"get/responses/200/links/last";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/electronic-channels/";"get/responses/200/links/last";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/electronic-channels/";"get/responses/200/links/last";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/electronic-channels/";"get/responses/200/links/last";"Adicionado - ""minLength""";"Adição";"";"5"
"/electronic-channels/";"get/responses/200/links/next";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/electronic-channels/";"get/responses/200/links/next";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/electronic-channels/";"get/responses/200/links/next";"Adicionado - ""minLength""";"Adição";"";"5"
"/electronic-channels/";"get/responses/200/links/next";"Adicionado - ""example""";"Adição";"";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/electronic-channels/";"get/responses/200/links/prev";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/electronic-channels/";"get/responses/200/links/prev";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/electronic-channels/";"get/responses/200/links/prev";"Adicionado - ""minLength""";"Adição";"";"5"
"/electronic-channels/";"get/responses/200/links/prev";"Adicionado - ""example""";"Adição";"";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/electronic-channels/";"get/responses/200/links/self";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/electronic-channels/";"get/responses/200/links/self";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/electronic-channels/";"get/responses/200/links/self";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/electronic-channels/";"get/responses/200/links/self";"Adicionado - ""minLength""";"Adição";"";"5"
"/electronic-channels/";"get/responses/200/meta";"Adicionado - ""description""";"Adição";"";"Meta informações referente à API requisitada"
"/phone-channels/";"get/parameters/page";"Adicionado - ""format""";"Adição";"";"int32"
"/phone-channels/";"get/parameters/page";"Adicionado - ""maximum""";"Adição";"";"2147483647"
"/phone-channels/";"get/parameters/page-size";"Adicionado - ""format""";"Adição";"";"int32"
"/phone-channels/";"get/parameters/page-size";"Adicionado - ""maximum""";"Adição";"";"1000"
"/phone-channels/";"get/responses";"Adicionado - ""400""";"Adição";"";""
"/phone-channels/";"get/responses";"Adicionado - ""404""";"Adição";"";""
"/phone-channels/";"get/responses";"Adicionado - ""405""";"Adição";"";""
"/phone-channels/";"get/responses";"Adicionado - ""429""";"Adição";"";""
"/phone-channels/";"get/responses";"Adicionado - ""500""";"Adição";"";""
"/phone-channels/";"get/responses";"Adicionado - ""504""";"Adição";"";""
"/phone-channels/";"get/responses";"Adicionado - ""529""";"Adição";"";""
"/phone-channels/";"get/responses";"Adicionado - ""default""";"Adição";"";""
"/phone-channels/";"get/responses/200";"Removido - ""example""";"Remoção";"";""
"/phone-channels/";"get/responses/200/data";"Alterado - ""type""";"Alteração";"object";"array"
"/phone-channels/";"get/responses/200/data";"Removido - ""required""";"Remoção";"";""
"/phone-channels/";"get/responses/200/data";"Removido - ""properties""";"Remoção";"";""
"/phone-channels/";"get/responses/200/data";"Adicionado - ""description""";"Adição";"";"Conjunto de informações referente aos canais telefônicos de atendimento da instituição"
"/phone-channels/";"get/responses/200/data";"Adicionado - ""minItems""";"Adição";"";"1"
"/phone-channels/";"get/responses/200/data";"Adicionado - ""items""";"Adição";"";""
"/phone-channels/";"get/responses/200/links";"Adicionado - ""description""";"Adição";"";"Referências para outros recursos da API requisitada"
"/phone-channels/";"get/responses/200/links/first";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/phone-channels/";"get/responses/200/links/first";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/phone-channels/";"get/responses/200/links/first";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/phone-channels/";"get/responses/200/links/first";"Adicionado - ""minLength""";"Adição";"";"5"
"/phone-channels/";"get/responses/200/links/last";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/phone-channels/";"get/responses/200/links/last";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/phone-channels/";"get/responses/200/links/last";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/phone-channels/";"get/responses/200/links/last";"Adicionado - ""minLength""";"Adição";"";"5"
"/phone-channels/";"get/responses/200/links/next";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/phone-channels/";"get/responses/200/links/next";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/phone-channels/";"get/responses/200/links/next";"Adicionado - ""minLength""";"Adição";"";"5"
"/phone-channels/";"get/responses/200/links/next";"Adicionado - ""example""";"Adição";"";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/phone-channels/";"get/responses/200/links/prev";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/phone-channels/";"get/responses/200/links/prev";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/phone-channels/";"get/responses/200/links/prev";"Adicionado - ""minLength""";"Adição";"";"5"
"/phone-channels/";"get/responses/200/links/prev";"Adicionado - ""example""";"Adição";"";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/phone-channels/";"get/responses/200/links/self";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/phone-channels/";"get/responses/200/links/self";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/phone-channels/";"get/responses/200/links/self";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/phone-channels/";"get/responses/200/links/self";"Adicionado - ""minLength""";"Adição";"";"5"
"/phone-channels/";"get/responses/200/meta";"Adicionado - ""description""";"Adição";"";"Meta informações referente à API requisitada"
"/shared-automated-teller-machines/";"get/parameters/page";"Adicionado - ""format""";"Adição";"";"int32"
"/shared-automated-teller-machines/";"get/parameters/page";"Adicionado - ""maximum""";"Adição";"";"2147483647"
"/shared-automated-teller-machines/";"get/parameters/page-size";"Adicionado - ""format""";"Adição";"";"int32"
"/shared-automated-teller-machines/";"get/parameters/page-size";"Adicionado - ""maximum""";"Adição";"";"1000"
"/shared-automated-teller-machines/";"get/responses";"Adicionado - ""400""";"Adição";"";""
"/shared-automated-teller-machines/";"get/responses";"Adicionado - ""404""";"Adição";"";""
"/shared-automated-teller-machines/";"get/responses";"Adicionado - ""405""";"Adição";"";""
"/shared-automated-teller-machines/";"get/responses";"Adicionado - ""429""";"Adição";"";""
"/shared-automated-teller-machines/";"get/responses";"Adicionado - ""500""";"Adição";"";""
"/shared-automated-teller-machines/";"get/responses";"Adicionado - ""504""";"Adição";"";""
"/shared-automated-teller-machines/";"get/responses";"Adicionado - ""529""";"Adição";"";""
"/shared-automated-teller-machines/";"get/responses";"Adicionado - ""default""";"Adição";"";""
"/shared-automated-teller-machines/";"get/responses/200/data";"Alterado - ""type""";"Alteração";"object";"array"
"/shared-automated-teller-machines/";"get/responses/200/data";"Removido - ""properties""";"Remoção";"";""
"/shared-automated-teller-machines/";"get/responses/200/data";"Adicionado - ""description""";"Adição";"";"Conjunto de informações referente aos terminais compartilhados de autoatendimento da instituição"
"/shared-automated-teller-machines/";"get/responses/200/data";"Adicionado - ""minItems""";"Adição";"";"1"
"/shared-automated-teller-machines/";"get/responses/200/data";"Adicionado - ""items""";"Adição";"";""
"/shared-automated-teller-machines/";"get/responses/200/links";"Adicionado - ""description""";"Adição";"";"Referências para outros recursos da API requisitada"
"/shared-automated-teller-machines/";"get/responses/200/links/first";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/shared-automated-teller-machines/";"get/responses/200/links/first";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/shared-automated-teller-machines/";"get/responses/200/links/first";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/shared-automated-teller-machines/";"get/responses/200/links/first";"Adicionado - ""minLength""";"Adição";"";"5"
"/shared-automated-teller-machines/";"get/responses/200/links/last";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/shared-automated-teller-machines/";"get/responses/200/links/last";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/shared-automated-teller-machines/";"get/responses/200/links/last";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/shared-automated-teller-machines/";"get/responses/200/links/last";"Adicionado - ""minLength""";"Adição";"";"5"
"/shared-automated-teller-machines/";"get/responses/200/links/next";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/shared-automated-teller-machines/";"get/responses/200/links/next";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/shared-automated-teller-machines/";"get/responses/200/links/next";"Adicionado - ""minLength""";"Adição";"";"5"
"/shared-automated-teller-machines/";"get/responses/200/links/next";"Adicionado - ""example""";"Adição";"";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/shared-automated-teller-machines/";"get/responses/200/links/prev";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/shared-automated-teller-machines/";"get/responses/200/links/prev";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/shared-automated-teller-machines/";"get/responses/200/links/prev";"Adicionado - ""minLength""";"Adição";"";"5"
"/shared-automated-teller-machines/";"get/responses/200/links/prev";"Adicionado - ""example""";"Adição";"";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/shared-automated-teller-machines/";"get/responses/200/links/self";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/shared-automated-teller-machines/";"get/responses/200/links/self";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/shared-automated-teller-machines/";"get/responses/200/links/self";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/shared-automated-teller-machines/";"get/responses/200/links/self";"Adicionado - ""minLength""";"Adição";"";"5"
"/shared-automated-teller-machines/";"get/responses/200/meta";"Adicionado - ""description""";"Adição";"";"Meta informações referente à API requisitada"
"Alterações realizadas fora do endpoint";"/info";"Alterado - ""title""";"Alteração";"APIs OpenData do Open Finance Brasil";"API OpenData Channels do Open Finance Brasil"
"Alterações realizadas fora do endpoint";"/info";"Alterado - ""description""";"Alteração";"As APIs descritas neste documento são referentes as APIs da fase OpenData do Open Finance Brasil.";"A API descrita neste documento é referente as API Channels da fase OpenData do Open Finance Brasil."
"Alterações realizadas fora do endpoint";"/info";"Alterado - ""version""";"Alteração";"1.0.2";"2.0.0-rc.2"
"Alterações realizadas fora do endpoint";"/servers/0";"Alterado - ""url""";"Alteração";"http://api.banco.com.br/open-banking/channels/v1";"http://api.banco.com.br/open-banking/channels/v2"
"Alterações realizadas fora do endpoint";"/tags/0";"Alterado - ""description""";"Alteração";"Operações para listagem de canais de atendimentos";"Operações para listagem de canais de atendimento"
